ISS,Funding, Requirement,Funding, Requirement,Funding,Requirements,Funding,Requirements,Funding,Requirements,Funding,Requirements,Funding,Requirements,Funding,Requirements,Funding,Requirements,Funding,Requirements,Funding,Requirements,Funding,Requirements,Funding,Requirements
302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4190,4190,4258,4258,4330,4330,4419,4419
303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20289,20289,20294,20294,20298,20298,20289,20289
305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345042,361804,343517,361597,343471,361548,343244,361310
305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8669,8669,8224,8657,8214,8646,8194,8625
305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3680,3814,3780,3801,3580,3806,3652,3803
305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1486,1532,1483,1529,1482,1528,1479,1525
305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6202,6741,6268,6740,6262,6733,6260,6731
306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115446,121510,115015,121068,114978,121030,114850,120895
306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2438,2641,2486,2633,2533,2634,2584,2632
306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1047,1114,1081,1114,1091,1113,1102,1113
306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7324,7792,7361,7789,7358,7786,7353,7781
306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9225,9225,9225,9225,9225,9225,9225,9225
307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,327,295,327,301,329,330,330
307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229269,244419,231911,244117,231831,244033,231686,243880
307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
